"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Algeria","DZA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.6308784484863","","","","","","","","","","","","","","","69.8735","","","","72.64868","","75.13605","","","","","","","","","","81.40784","",
"East Asia & Pacific (excluding high income)","EAP","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","63.8531913757324","64.0217437744141","65.138542175293","66.2955703735352","66.8114929199219","68.506217956543","69.3649520874023","70.6679611206055","71.7142868041992","72.7146682739258","73.6424407958984","74.8802108764648","79.2213973999023","79.9134674072266","79.7882919311523","81.0784378051758","81.5922012329102","82.0609817504883","82.6044998168945","83.1411209106445","83.6775665283203","89.3178024291992","89.6892318725586","90.024543762207","90.5563888549805","90.7941818237305","91.1756286621094","91.5507202148438","92.0928115844727","92.4609069824219","92.884033203125","93.9615020751953","94.2028503417969","94.5054016113281","94.60775","94.45593","94.67794","94.77902","95.19566","95.40914","95.52339","95.72633","95.86556","",
"Early-demographic dividend","EAR","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","48.9860305786133","49.2011985778809","49.8217582702637","50.4405899047852","51.0356216430664","51.1060409545898","51.8776397705078","52.8216400146484","53.4330596923828","54.2208595275879","54.8720512390137","55.4910011291504","56.3762016296387","57.1158409118652","57.7994384765625","58.6562690734863","59.1395797729492","60.1629600524902","60.9490013122559","61.744758605957","62.5383186340332","63.2736015319824","63.9339981079102","66.9606170654297","67.5734786987305","68.2500610351563","68.678337097168","69.3734893798828","70.4060287475586","71.195556640625","71.1022491455078","71.2455825805664","72.1994781494141","73.2802429199219","74.129768371582","75.28231","75.28606","75.91448","76.49256","77.23448","77.95227","78.57369","79.01262","79.35073","",
"East Asia & Pacific","EAS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","65.759033203125","65.9539108276367","66.9868621826172","68.0579681396484","68.5194778442383","70.1166915893555","70.8775100708008","72.0640106201172","73.0213470458984","73.9372482299805","74.7871932983398","75.9639205932617","79.8681564331055","80.5110626220703","80.4160919189453","81.5844573974609","82.0579071044922","82.4862213134766","83.003547668457","83.5123977661133","84.0223770141602","89.0765228271484","89.4333572387695","89.7908096313477","90.3135299682617","90.5213928222656","90.9091262817383","91.304443359375","91.8668823242188","92.2488632202148","92.6714096069336","93.6602935791016","93.9331588745117","94.2249984741211","94.26817","94.07541","94.31349","94.42047","94.91781","95.13715","95.25384","95.46465","95.6076","",
"Europe & Central Asia (excluding high income)","ECA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","93.707160949707","94.5065307617188","94.7606582641602","94.850471496582","95.0237579345703","95.2090606689453","95.3310317993164","95.569450378418","95.6077575683594","95.7301788330078","95.8511581420898","95.9709014892578","96.0927734375","96.271728515625","96.3832092285156","96.7079696655273","96.7728805541992","96.8884124755859","96.9660720825195","97.0527267456055","97.1262664794922","97.2912292480469","97.4943084716797","97.4581298828125","97.5534896850586","97.5582504272461","98.0868530273438","98.38939","98.6356","98.76158","98.81141","98.84282","98.87197","98.98786","98.96444","99.0011","",
"Europe & Central Asia","ECS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.6731109619141","95.8122024536133","95.9737319946289","96.0999298095703","96.3524627685547","96.4646377563477","96.5832824707031","96.6643600463867","96.8067321777344","96.891227722168","96.9810409545898","96.977409362793","97.1338424682617","97.1341934204102","97.2484436035156","97.4167098999023","97.58114","97.89486","97.99824","98.06956","98.11637","98.16487","98.25469","98.27194","98.33417","",
"Ecuador","ECU","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","83.5526885986328","","","","","","","","88.2987594604492","","","","","","","","","","","90.98403","","","","","","92.09679","92.39005","92.24976","91.85404","91.5869","92.06473","93.29463","94.22264","94.45566","94.35023","92.82979","","",
"Egypt, Arab Rep.","EGY","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","38.1967582702637","","","","","","","","","","44.4239883422852","","","","","","","","","","55.5870018005371","","","","","","","","","71.40886","66.36991","","","","72.04785","","73.86559","75.06073","","","","71.16825","","",
"Euro area","EMU","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.51395","","","","","","64.66297","","","","","","","","","","76.57052","",
